Experiencia_Anios,Puntaje_Tecnico,Participacion_Proyectos,Promovido
13.1,42.6,8,0
0.8,78.0,10,0
13.2,97.1,6,1
8.2,76.1,7,1
14.1,89.2,3,1
12.1,93.1,7,1
15.0,53.7,8,1
5.6,52.7,10,0
11.6,76.7,6,1
6.3,64.7,10,0
7.5,90.4,9,1
9.6,94.0,6,1
13.2,61.2,9,1
14.8,54.2,4,0
11.6,86.8,8,1
6.6,56.5,4,0
6.6,89.4,2,0
11.2,65.4,10,1
4.0,80.1,9,0
2.1,45.7,5,0
5.6,77.4,4,0
4.7,67.1,2,0
4.8,75.2,1,0
3.9,50.1,7,0
1.1,84.2,6,0
0.8,91.8,2,0
14.8,53.0,8,0
6.7,45.7,4,0
6.1,41.4,8,0
10.4,78.5,7,1
3.7,76.4,5,0
14.3,72.8,10,1
11.9,53.9,10,1
1.8,63.5,8,0
6.6,75.7,9,1
13.2,69.8,5,0
14.2,99.3,10,1
7.3,48.2,5,0
9.4,81.7,2,0
2.9,64.3,5,0
14.9,65.7,3,1
3.9,83.1,7,0
14.2,81.5,10,1
9.9,99.5,5,1
9.3,47.7,8,0
7.9,46.2,1,0
3.8,83.5,3,0
3.1,74.7,3,0
3.7,56.4,9,0
3.2,44.8,5,0
11.8,45.1,9,0
5.6,93.7,9,1
1.3,51.5,1,0
14.6,59.4,2,1
13.3,53.6,5,0
14.0,61.3,4,0
14.9,44.2,10,1
3.0,71.1,9,1
6.2,44.1,7,0
11.5,88.0,6,1
10.6,54.0,7,0
2.7,72.4,1,0
12.3,92.8,1,1
3.8,79.1,8,0
3.7,72.0,2,0
8.3,59.5,10,1
9.1,60.0,9,1
8.9,80.2,7,1
1.8,99.6,6,1
13.2,79.7,1,0
4.4,73.5,1,0
2.4,83.8,2,0
13.4,67.9,6,1
14.4,43.6,6,0
13.0,73.7,2,0
12.2,97.5,1,1
10.0,50.5,10,1
8.5,81.4,5,0
1.8,52.1,5,0
6.4,72.1,2,0
5.9,45.8,6,0
4.3,67.0,9,0
11.0,85.4,2,0
7.7,60.9,10,0
1.7,79.9,2,0
3.7,87.7,3,0
10.4,95.6,7,1
1.6,54.1,6,0
12.8,64.0,8,0
7.7,49.1,8,0
7.5,99.5,6,1
9.1,95.6,10,1
12.5,72.4,3,1
5.5,90.5,3,0
10.3,71.3,1,0
8.7,77.4,7,1
4.4,45.3,5,0
13.2,85.3,4,1
12.1,47.7,10,0
10.0,89.6,4,1
12.8,86.9,4,1
13.1,82.5,6,1
10.8,42.2,8,1
12.6,58.2,8,1
10.6,55.8,5,0
10.4,61.6,6,0
9.5,45.3,4,0
11.4,96.2,9,1
2.8,73.2,8,0
13.3,58.3,10,1
13.1,63.8,10,1
0.9,66.8,1,0
12.5,76.0,2,0
2.4,70.9,9,0
5.4,95.2,8,1
11.3,69.8,3,0
2.8,99.5,8,0
12.4,91.1,1,1
12.6,52.5,10,1
7.9,95.8,4,1
0.6,47.0,3,0
4.7,89.0,6,0
9.4,62.8,7,1
14.7,92.7,4,1
9.7,92.1,7,1
4.3,88.4,9,0
9.7,87.4,2,1
8.3,58.3,3,0
11.8,44.9,5,0
2.1,64.2,3,0
11.5,50.4,8,0
8.3,81.7,10,1
14.5,60.8,8,1
5.5,98.5,8,1
9.7,78.5,9,1
14.0,89.3,4,1
2.0,48.0,5,0
14.1,91.7,5,1
10.5,95.4,8,1
1.5,69.2,7,0
4.9,76.4,9,1
10.8,85.9,8,1
1.5,50.5,2,0
8.9,70.2,10,1
5.5,63.9,4,0
9.5,48.8,6,1
1.2,62.1,2,0
13.1,44.1,7,1
14.6,41.5,3,0
14.5,48.1,3,0
11.4,97.8,2,1
2.4,73.0,8,0
11.5,97.9,6,1
0.9,65.9,1,0
0.8,58.7,1,0
5.2,70.4,7,0
7.6,66.4,8,1
11.7,46.3,5,0
10.4,78.4,5,1
7.0,53.0,4,0
4.5,77.2,6,0
15.0,79.0,6,1
6.7,49.1,3,0
7.0,43.7,9,1
2.9,86.8,7,1
12.0,67.6,1,0
10.6,43.5,7,0
3.7,99.7,5,1
1.7,43.5,5,0
10.4,81.7,2,1
10.0,99.0,4,1
4.5,54.4,6,0
14.3,48.5,10,1
2.7,47.3,7,0
6.8,58.2,5,0
14.2,46.1,9,1
6.6,81.5,3,0
9.8,43.7,1,0
6.3,70.6,4,0
4.5,99.8,9,1
14.8,88.8,4,1
6.4,76.9,2,0
13.5,58.4,10,1
3.8,77.4,5,0
3.6,71.6,3,0
1.0,65.6,9,0
9.9,47.8,4,0
5.8,93.2,6,1
13.0,67.0,2,0
7.4,51.7,6,0
14.5,62.1,3,1
3.2,64.8,9,0
13.1,89.7,2,1
11.8,84.0,9,1
11.7,86.2,5,1
12.7,40.7,8,1
11.5,65.0,2,0
9.6,68.9,6,1
2.4,41.2,3,0
1.0,55.6,10,0
13.9,85.6,5,1
9.4,48.2,8,1
12.0,72.1,10,1
7.5,52.9,1,0
2.2,40.7,5,0
2.3,54.5,3,0
10.4,98.6,4,1
6.7,88.1,2,0
3.4,97.6,9,1
7.6,69.3,3,1
1.4,46.6,2,0
8.9,72.9,10,1
4.4,67.3,9,0
12.1,90.7,7,1
5.0,45.9,6,0
7.1,69.3,1,0
0.7,49.0,5,0
1.6,59.5,3,0
6.2,84.2,1,0
7.5,68.6,4,0
9.2,62.6,2,0
4.7,63.7,2,0
10.6,67.6,3,0
13.0,87.1,8,1
11.8,93.5,8,1
1.1,97.3,7,1
7.5,87.2,6,1
2.0,58.9,9,0
4.0,81.3,4,0
14.8,66.3,1,0
2.6,55.3,8,0
7.7,90.5,7,1
9.5,42.3,7,0
10.7,94.1,3,1
8.6,67.7,4,0
0.6,78.2,10,0
5.2,79.6,9,1
8.0,93.7,6,0
1.8,78.2,5,0
5.6,76.8,3,0
1.0,44.0,9,0
1.6,71.1,5,0
6.3,49.0,5,0
2.4,84.2,4,0
8.7,70.7,4,0
10.5,80.8,1,0
12.1,42.5,7,0
3.4,45.1,9,0
2.9,83.0,3,0
2.0,44.3,2,0
9.7,44.3,3,0
10.7,40.7,1,0
