antiguedad_meses,precio_cop
49,1869719.0
52,1636916.0
32,2289624.0
4,3363030.0
30,2653081.0
37,2117819.0
23,2950672.0
39,1805836.0
45,1685094.0
15,3125787.0
43,1872047.0
29,2427490.0
36,2273427.0
13,3054857.0
32,2338643.0
7,3503044.0
59,1222166.0
51,1611742.0
22,2641304.0
28,2309883.0
2,3901652.0
42,1959847.0
45,1662727.0
57,1467673.0
53,1432351.0
6,3706895.0
28,2550128.0
28,2849112.0
44,2083301.0
44,1782655.0
20,3045736.0
30,2546806.0
11,3510295.0
58,1045261.0
55,1427908.0
28,2698764.0
25,2411189.0
39,1867511.0
33,2009115.0
1,3714589.0
57,1342631.0
27,2810354.0
57,1246114.0
52,1704292.0
13,3007985.0
41,1699493.0
3,3656668.0
39,2102610.0
6,3525096.0
8,3129884.0
27,2571632.0
9,3199330.0
37,2235451.0
33,2369990.0
51,1364018.0
42,1832920.0
44,1661118.0
24,2710598.0
15,3268271.0
59,997141.0
54,1445607.0
32,2280461.0
32,2241069.0
24,2703945.0
41,1799714.0
52,1376953.0
49,1415318.0
49,1889709.0
58,1195290.0
52,1355041.0
12,3292097.0
39,2028151.0
2,3676855.0
3,3757125.0
49,1708626.0
37,2055425.0
49,1508627.0
56,1238742.0
17,2689712.0
59,917721.0
49,1800031.0
2,3956745.0
2,3672645.0
28,2626484.0
54,1416688.0
23,3226832.0
37,2302936.0
32,2340812.0
33,2171669.0
1,3514033.0
19,2975520.0
2,3596547.0
53,1201662.0
44,1723014.0
26,2467768.0
32,2613071.0
6,3662246.0
32,2358804.0
55,1546992.0
4,3631605.0
55,1195807.0
11,3533469.0
56,1360837.0
59,989413.0
17,3006449.0
38,1958657.0
24,2512580.0
5,3713927.0
52,1746412.0
34,2060215.0
6,3614445.0
22,2712404.0
11,3231931.0
48,1551141.0
16,2950401.0
33,2322278.0
9,3270357.0
60,1140569.0
59,1137464.0
6,3494158.0
16,2943865.0
29,2408484.0
3,3778309.0
20,2975138.0
60,953367.0
59,1159900.0
36,2292708.0
19,2694589.0
26,2711504.0
3,3565606.0
19,3030590.0
20,2785511.0
32,2089268.0
7,3240869.0
52,1467213.0
41,1993958.0
33,2179353.0
40,2095789.0
39,1795772.0
18,2980088.0
40,1818348.0
1,3657225.0
11,3312110.0
28,2410938.0
57,1177317.0
25,2825944.0
50,1463466.0
23,2890354.0
31,2235544.0
30,2529471.0
42,2126235.0
35,1854253.0
7,3365466.0
60,1186561.0
16,3049543.0
26,2685672.0
48,1549402.0
57,1247988.0
52,1436648.0
60,1275167.0
49,1633163.0
2,3760640.0
1,3693218.0
48,1566859.0
12,3195116.0
5,3634168.0
37,2071852.0
32,2403466.0
59,1456310.0
55,1455669.0
9,3346096.0
41,2135182.0
35,2163789.0
19,2639281.0
48,1488787.0
16,2799381.0
3,3612273.0
20,2902763.0
24,2971466.0
54,1419039.0
56,1247135.0
33,2439411.0
24,2388330.0
52,1495342.0
11,3420630.0
49,1373212.0
8,3611563.0
36,2230774.0
38,2027707.0
40,2094917.0
20,3240604.0
35,2252280.0
48,1677233.0
25,2606096.0
35,2097523.0
25,2799550.0
29,2366587.0
18,3000735.0
46,1658351.0
18,3061847.0
2,3760049.0
54,1525631.0
35,2148498.0
16,3039519.0
41,1808185.0
36,2113356.0
33,2371595.0
4,3733548.0
33,2176675.0
14,3300441.0
21,3058346.0
48,1702015.0
20,3181519.0
56,1163932.0
8,3253302.0
7,3218192.0
3,3889407.0
17,3133155.0
33,2306662.0
48,1681995.0
12,3091177.0
59,1511863.0
51,1524383.0
22,2826409.0
55,1433865.0
22,2882151.0
46,1763583.0
30,2331429.0
38,2160720.0
38,2372304.0
45,1976813.0
51,1743978.0
54,1293318.0
8,3291559.0
27,2566132.0
27,2593359.0
34,2434129.0
21,2601130.0
30,2679433.0
33,2291299.0
28,2475968.0
47,1533184.0
33,2066771.0
5,3698476.0
60,1110998.0
48,1446506.0
19,2750738.0
4,3569632.0
35,2475353.0
49,1556061.0
17,2809529.0
44,1783139.0
28,2499091.0
30,2045467.0
29,2486856.0
46,1695360.0
53,1519431.0
6,3807343.0
35,2393985.0
60,1059667.0
41,1789021.0
37,2521004.0
24,2728883.0
29,2497089.0
49,1591381.0
46,1759713.0
53,1393346.0
31,2318951.0
35,2142971.0
60,1095087.0
33,2233486.0
52,1353073.0
21,2870965.0
32,2321753.0
23,2990599.0
33,1917355.0
3,3828726.0
18,3176913.0
25,2363991.0
42,1858597.0
31,2349284.0
54,1158873.0
58,1073327.0
3,3498414.0
40,2262841.0
46,1870352.0
24,2910733.0
50,1658251.0
32,2190642.0
47,1606322.0
22,2883406.0
23,2581681.0
2,3816950.0
27,2548951.0
42,1853777.0
2,3816644.0
26,2696639.0
17,2980855.0
40,2173899.0
33,2152841.0
9,3487390.0
43,1953965.0
54,1323568.0
48,1688920.0
39,1857333.0
29,2633604.0
42,1882265.0
55,1246592.0
26,2787351.0
35,2119348.0
50,1338731.0
25,2441506.0
24,2810901.0
13,3022936.0
60,1363219.0
